Rep,Party,State,Vote
Adams,D,NC,Yea
Aderholt,R,AL,Yea
Aguilar,D,CA,Yea
Alford,R,MO,Yea
Allen,R,GA,Yea
Allred,D,TX,Not Voting
Amo,D,RI,Yea
Amodei,R,NV,Yea
Arrington,R,TX,Yea
Auchincloss,D,MA,Yea
Babin,R,TX,Yea
Bacon,R,NE,Yea
Baird,R,IN,Yea
Balderson,R,OH,Yea
Balint,D,VT,Yea
Banks,R,IN,Nay
Barr,R,KY,Yea
Barragán,D,CA,Yea
Bean (FL),R,FL,Yea
Beatty,D,OH,Yea
Bentz,R,OR,Yea
Bera,D,CA,Yea
Bergman,R,MI,Yea
Beyer,D,VA,Yea
Bice,R,OK,Yea
Biggs,R,AZ,Nay
Bilirakis,R,FL,Yea
Bishop (GA),D,GA,Yea
Bishop (NC),R,NC,Nay
Blumenauer,D,OR,Not Voting
Blunt Rochester,D,DE,Yea
Boebert,R,CO,Nay
Bonamici,D,OR,Yea
Bost,R,IL,Yea
Bowman,D,NY,Yea
Boyle (PA),D,PA,Yea
Brecheen,R,OK,Nay
Brown,D,OH,Yea
Brownley,D,CA,Yea
Buchanan,R,FL,Yea
Bucshon,R,IN,Not Voting
Budzinski,D,IL,Yea
Burchett,R,TN,Nay
Burgess,R,TX,Not Voting
Burlison,R,MO,Nay
Bush,D,MO,Yea
Calvert,R,CA,Yea
Cammack,R,FL,Yea
Caraveo,D,CO,Yea
Carbajal,D,CA,Yea
Cárdenas,D,CA,Yea
Carey,R,OH,Yea
Carl,R,AL,Yea
Carson,D,IN,Yea
Carter (GA),R,GA,Yea
Carter (LA),D,LA,Yea
Carter (TX),R,TX,Yea
Cartwright,D,PA,Yea
Casar,D,TX,Yea
Case,D,HI,Yea
Casten,D,IL,Yea
Castor (FL),D,FL,Yea
Castro (TX),D,TX,Yea
Chavez-DeRemer,R,OR,Yea
Cherfilus-McCormick,D,FL,Yea
Chu,D,CA,Yea
Ciscomani,R,AZ,Yea
Clark (MA),D,MA,Yea
Clarke (NY),D,NY,Yea
Cleaver,D,MO,Yea
Cline,R,VA,Yea
Cloud,R,TX,Nay
Clyburn,D,SC,Not Voting
Clyde,R,GA,Nay
Cohen,D,TN,Yea
Cole,R,OK,Yea
Collins,R,GA,Yea
Comer,R,KY,Yea
Connolly,D,VA,Yea
Correa,D,CA,Yea
Costa,D,CA,Not Voting
Courtney,D,CT,Yea
Craig,D,MN,Yea
Crane,R,AZ,Nay
Crawford,R,AR,Yea
Crenshaw,R,TX,Yea
Crockett,D,TX,Present
Crow,D,CO,Yea
Cuellar,D,TX,Yea
Curtis,R,UT,Nay
D'Esposito,R,NY,Yea
Davids (KS),D,KS,Yea
Davidson,R,OH,Yea
Davis (IL),D,IL,Yea
Davis (NC),D,NC,Yea
